geography,level,year,palma,se
37,state,2006,1.7501912048045472,0.01840125170729116
37,state,2007,1.8401408761842952,0.019799129529096116
37,state,2008,1.8017329425553559,0.019072809778162055
37,state,2009,1.787212105865116,0.018865017019609312
37,state,2010,1.7893531898452486,0.016830295026557574
37,state,2011,1.8881218560039037,0.021046097139815288
37,state,2012,1.874810625327764,0.021360391187498363
37,state,2013,1.9359792894265155,0.02413651167541687
37,state,2014,1.9455053019061026,0.02205961629531713
37,state,2015,1.9521773602251824,0.024283513665978144
37,state,2016,1.978485338005352,0.025368182356902726
37,state,2017,1.9029709398622614,0.02016096842116477
