geo_description,type,year,estimate,se,moe,cv,subtype
Alexander,county,2007,1.6077825912231871,0.07050673341965172,0.11598357647532707,4.385340020755592,Alexander
Alleghany,county,2007,1.7863315145548244,0.14122520438146563,0.23231546120751095,7.905878792977611,Alleghany
Anson,county,2007,1.837333307303961,0.21043419896493512,0.34616425729731826,11.453240309115113,Anson
Ashe,county,2007,1.880958480202558,0.18676940844108553,0.3072356768855857,9.929480656105314,Ashe
Beaufort,county,2007,1.8701420956364034,0.18212732278983712,0.29959944598928206,9.738689012711612,Beaufort
Bladen,county,2007,2.0306265030964346,0.22270924576485476,0.3663567092831861,10.96751398769064,Bladen
Brunswick,county,2007,2.0351441165453448,0.12401730264686846,0.20400846285409863,6.093784790896662,Brunswick
Buncombe,county,2007,1.838306472639027,0.10107789121916147,0.1662731310555206,5.4984243771962875,Buncombe
Cabarrus,county,2007,1.8318290534892248,0.20892428392196682,0.3436804470516354,11.405228207512746,Cabarrus
Camden,county,2007,1.8842361733143531,0.15238958543277972,0.25068086803692263,8.08760534326904,Camden
Carteret,county,2007,1.7869557171406352,0.1165195546465739,0.19167466739361408,6.520561955112159,Carteret
Catawba,county,2007,1.5901870116932502,0.15117800424487057,0.2486878169828121,9.506932400604532,Catawba
Chatham,county,2007,2.166362902715817,0.1193721016977716,0.19636710729283427,5.510254147544863,Chatham
Cherokee,county,2007,2.0804326285050023,0.2056518691422984,0.33829732473908086,9.885053056973044,Cherokee
Cleveland,county,2007,1.446609015524514,0.10720639227596158,0.17635451529395682,7.410875442186465,Cleveland
Cumberland,county,2007,1.695746601962033,0.10642619480994218,0.1750710904623549,6.276067113258765,Cumberland
Davidson,county,2007,1.4470288769115383,0.11675082304293487,0.19205510390562786,8.068313280113776,Davidson
Davie,county,2007,1.3939509650287483,0.10003495444243468,0.16455750005780506,7.1763610738180885,Davie
Duplin,county,2007,1.518104926734007,0.08057325963825437,0.13254301210492844,5.307489503482253,Duplin
Durham,county,2007,1.7691326458287562,0.08311579191756575,0.13672547770439566,4.698109670495051,Durham
Edgecombe,county,2007,1.7385637587409453,0.19880964640830726,0.32704186834166543,11.435280725757432,Edgecombe
Forsyth,county,2007,1.9987576906110194,0.09408029042190329,0.15476207774403092,4.706938257890729,Forsyth
Franklin,county,2007,1.3438785320013311,0.08309769953657467,0.13669571573766534,6.183423394138448,Franklin
Gaston,county,2007,1.6333539625564146,0.09841022924921282,0.16188482711495508,6.025039979404576,Gaston
Granville,county,2007,1.6861888482044431,0.18133761511066512,0.29830037685704414,10.754288602001164,Granville
Greene,county,2007,1.8181064703281566,0.11751407943947637,0.19331066067793862,6.463542226889817,Greene
Guilford,county,2007,2.06152320464766,0.09636745073415111,0.15852445645767857,4.674575115957596,Guilford
Halifax,county,2007,2.0689829773002932,0.2025785572383152,0.3332417266570285,9.79121430484891,Halifax
Harnett,county,2007,1.2842969569200078,0.055705764887739116,0.09163598324033084,4.337452065707008,Harnett
Henderson,county,2007,1.6645727177848992,0.14651361983455588,0.24101490462784442,8.80187559661114,Henderson
Hoke,county,2007,1.7537150420440433,0.11852897292269061,0.19498016045782607,6.758736173269011,Hoke
Mecklenburg,county,2007,1.7704992074314536,0.05696230446660992,0.09370299084757332,3.2173018901967096,Mecklenburg
Pitt,county,2007,2.288966205669068,0.19123399356431783,0.3145799194133028,8.354601002438997,Pitt
Robeson,county,2007,2.061684325656954,0.21477967708455023,0.3533125688040851,10.417680069237122,Robeson
Rowan,county,2007,1.5799766760832519,0.13325865893802769,0.21921049395305556,8.434216843528015,Rowan
Union,county,2007,1.608203490844636,0.1079746435461907,0.1776182886334837,6.713991367440815,Union
Wake,county,2007,1.7774019972026491,0.08065900189617879,0.1326840581192141,4.538028089488105,Wake
Wayne,county,2007,1.589560769214455,0.11350766580365972,0.18672011024702023,7.140819527129754,Wayne
Alamance,county,2008,1.4895858728211797,0.07382961301431093,0.12144971340854148,4.956385151161672,Alamance
Alexander,county,2008,1.6874844652967789,0.09019328330424867,0.14836795103548905,5.3448363619979355,Alexander
Alleghany,county,2008,1.6168801824387917,0.13008181192350776,0.21398458061417028,8.045235097587828,Alleghany
Anson,county,2008,1.5684763801908246,0.16244224599429444,0.26721749466061434,10.35669061044651,Anson
Ashe,county,2008,2.1442210740888483,0.21730192837319293,0.35746167217390235,10.134306158964128,Ashe
Beaufort,county,2008,1.907217269310095,0.16268095322686843,0.2676101680581986,8.529754624428062,Beaufort
Bladen,county,2008,1.6971245791171914,0.1470691734801795,0.2419287903748953,8.66578536955029,Bladen
Brunswick,county,2008,1.6769045289929123,0.07506394405024241,0.12348018796264877,4.476339752944855,Brunswick
Buncombe,county,2008,1.9009274672678937,0.14535728260941846,0.23911272989249338,7.646650654079563,Buncombe
Cabarrus,county,2008,1.6885488420275354,0.127475208643769,0.209696718219,7.54939421774157,Cabarrus
Camden,county,2008,1.707253555379904,0.13955983617198073,0.2295759305029083,8.174523094838445,Camden
Carteret,county,2008,1.511604413092994,0.10380087715000015,0.17075244291175026,6.866933984243026,Carteret
