geography,level,year,palma,se
Brunswick,county,2006,1.882726628784009,0.10175661908261102
Cleveland,county,2006,1.4742085629905015,0.10110441593854051
Duplin,county,2006,1.4977676152357489,0.077753473965381
Forsyth,county,2006,1.8759599266986762,0.09161505609136554
Mecklenburg,county,2006,1.9292059195417581,0.061382111510927456
Alamance,county,2006,1.4193129238683944,0.07864272117964094
Anson,county,2006,1.4368333743017212,0.13592220061947166
Cabarrus,county,2006,1.2506565234717182,0.08054450188675173
Camden,county,2006,1.53243940800121,0.09996681817035027
Catawba,county,2006,1.5000902320366443,0.1213561599747053
Chatham,county,2006,2.0043964103598766,0.10303747393934604
Cherokee,county,2006,1.648251170150672,0.1226690253498279
Cumberland,county,2006,1.6479418018673642,0.10892802099801564
Durham,county,2006,1.6763346927662461,0.08073715903990096
Gaston,county,2006,1.5307329276170345,0.09464800133178626
Granville,county,2006,1.5716615150772018,0.15779789542895437
Greene,county,2006,1.5376314454400553,0.14680267093038346
Pitt,county,2006,1.8096515611365511,0.16615555312045047
Wake,county,2006,1.678108352521004,0.06650163787356442
Guilford,county,2006,1.9262552700011712,0.08246303185556414
Harnett,county,2006,1.4140240067033691,0.05989715841340187
Wayne,county,2006,1.5590084880047017,0.09164142188760187
Alexander,county,2006,1.6397732279010417,0.1105685504362754
Beaufort,county,2006,1.561149843061243,0.12642627162507394
Edgecombe,county,2006,1.8909152807938583,0.22364835411549575
Franklin,county,2006,1.415269185312689,0.0991393132637749
Hoke,county,2006,1.9709652242322697,0.1659787024992088
Alleghany,county,2006,1.7287995567202326,0.20377667187851556
Henderson,county,2006,1.8751237077152334,0.18375893682578018
Robeson,county,2006,2.1401410973378603,0.2739365910046332
Ashe,county,2006,2.0348068394409737,0.1547092632659837
Bladen,county,2006,1.62740980000718,0.14566904830031055
Buncombe,county,2006,1.6635500722554903,0.1118900840695965
Carteret,county,2006,1.6095632646490916,0.0858349360862697
Davidson,county,2006,1.2430683588962497,0.09763614202569292
Davie,county,2006,1.2224549448634137,0.07780196651277137
Rowan,county,2006,1.570091076698634,0.13162115416198075
Halifax,county,2006,2.059140323901458,0.20393287678095823
Union,county,2006,1.3027247842188838,0.08341129665756296
Alamance,county,2007,1.5541965666309854,0.09966320021703366
Alexander,county,2007,1.607782591223187,0.0705067334196517
Alleghany,county,2007,1.7863315145548244,0.14122520438146557
Anson,county,2007,1.8373333073039613,0.21043419896493507
Ashe,county,2007,1.880958480202558,0.1867694084410855
Beaufort,county,2007,1.8701420956364032,0.18212732278983712
Bladen,county,2007,2.0306265030964346,0.22270924576485476
Brunswick,county,2007,2.035144116545345,0.12401730264686847
Buncombe,county,2007,1.838306472639027,0.10107789121916148
Cabarrus,county,2007,1.831829053489225,0.20892428392196677
Camden,county,2007,1.8842361733143531,0.15238958543277967
Carteret,county,2007,1.7869557171406352,0.1165195546465739
Catawba,county,2007,1.5901870116932497,0.15117800424487057
Chatham,county,2007,2.1663629027158167,0.11937210169777163
Cherokee,county,2007,2.080432628505002,0.20565186914229838
Cleveland,county,2007,1.4466090155245142,0.10720639227596157
Cumberland,county,2007,1.695746601962033,0.10642619480994218
Davidson,county,2007,1.4470288769115383,0.11675082304293485
Davie,county,2007,1.393950965028748,0.10003495444243467
Duplin,county,2007,1.5181049267340068,0.08057325963825435
Durham,county,2007,1.7691326458287562,0.08311579191756575
Edgecombe,county,2007,1.7385637587409455,0.19880964640830726
Forsyth,county,2007,1.9987576906110192,0.09408029042190329
Franklin,county,2007,1.343878532001331,0.08309769953657467
Gaston,county,2007,1.6333539625564144,0.0984102292492128
Granville,county,2007,1.686188848204443,0.18133761511066512
Greene,county,2007,1.8181064703281566,0.11751407943947635
Guilford,county,2007,2.0615232046476595,0.09636745073415111
Halifax,county,2007,2.0689829773002932,0.20257855723831522
Harnett,county,2007,1.2842969569200076,0.05570576488773913
Henderson,county,2007,1.6645727177848992,0.1465136198345559
Hoke,county,2007,1.7537150420440435,0.11852897292269061
Mecklenburg,county,2007,1.7704992074314538,0.05696230446660993
Pitt,county,2007,2.2889662056690674,0.1912339935643178
Robeson,county,2007,2.0616843256569535,0.21477967708455026
Rowan,county,2007,1.579976676083252,0.13325865893802769
Union,county,2007,1.6082034908446363,0.10797464354619067
Wake,county,2007,1.7774019972026494,0.0806590018961788
Wayne,county,2007,1.5895607692144553,0.11350766580365972
Alamance,county,2008,1.4895858728211797,0.07382961301431093
Alexander,county,2008,1.6874844652967786,0.09019328330424867
Alleghany,county,2008,1.6168801824387915,0.1300818119235078
Anson,county,2008,1.5684763801908246,0.1624422459942944
