geography,level,year,palma,se
4000,puma,2006,1.882726628784009,0.10175661908261102
400,puma,2006,1.4742085629905015,0.10110441593854051
902,puma,2006,1.3668043180063656,0.13070481331719053
1800,puma,2006,2.3936580231833164,0.16121467922085436
3200,puma,2006,1.5268797825224099,0.11158916859130956
100,puma,2006,1.648251170150672,0.1226690253498279
700,puma,2006,1.5000902320366443,0.1213561599747053
901,puma,2006,2.008119339915789,0.19253668858352463
1100,puma,2006,1.5307329276170345,0.09464800133178626
1300,puma,2006,1.2506565234717182,0.08054450188675173
2300,puma,2006,1.5315485286015507,0.1174097371291164
2400,puma,2006,1.3039555095211912,0.10065617650951841
2500,puma,2006,1.4368333743017212,0.13592220061947166
2601,puma,2006,2.3130568023507694,0.18784269049625754
2801,puma,2006,1.8269323420048218,0.1263016191954523
2900,puma,2006,2.3355956551830626,0.17515708127062757
3300,puma,2006,1.5716615150772018,0.15779789542895437
3700,puma,2006,1.4707689938306787,0.14000901717081712
4400,puma,2006,1.5376314454400553,0.14680267093038346
4600,puma,2006,1.8096515611365511,0.16615555312045047
4800,puma,2006,1.53243940800121,0.09996681817035027
1000,puma,2006,1.5312860655883047,0.12586416091543393
2802,puma,2006,1.7602628260915336,0.1607066519269619
3600,puma,2006,1.853745991463938,0.16692922316499031
1601,puma,2006,1.5445360105290868,0.15596420571114622
1602,puma,2006,2.1710523465401232,0.16908989737734811
2702,puma,2006,1.1411679996901813,0.05831944023647873
4300,puma,2006,1.5590084880047017,0.09164142188760187
1500,puma,2006,1.7498277361816632,0.17551053399278
1700,puma,2006,1.773212572762642,0.10327743935977127
1900,puma,2006,1.2843714651944216,0.08277451097244928
3000,puma,2006,1.415269185312689,0.0991393132637749
3100,puma,2006,1.600858248729569,0.1114894716217803
3400,puma,2006,1.8909152807938583,0.22364835411549575
3900,puma,2006,1.9709652242322697,0.1659787024992088
4200,puma,2006,1.4369000980181545,0.11329847463861685
4700,puma,2006,1.561149843061243,0.12642627162507394
300,puma,2006,1.8751237077152334,0.18375893682578018
600,puma,2006,1.7287995567202326,0.20377667187851556
800,puma,2006,1.5027263615831195,0.13590020122342772
903,puma,2006,1.2742325065444502,0.09474426488017579
3800,puma,2006,2.1401410973378603,0.2739365910046332
202,puma,2006,1.873024912460912,0.157970953675536
500,puma,2006,2.0348068394409737,0.1547092632659837
905,puma,2006,1.7516624613198175,0.10904119759390576
1200,puma,2006,1.570091076698634,0.13162115416198075
2100,puma,2006,1.2224549448634137,0.07780196651277137
2200,puma,2006,1.2430683588962497,0.09763614202569292
4100,puma,2006,1.62740980000718,0.14566904830031055
4500,puma,2006,1.6095632646490916,0.0858349360862697
2000,puma,2006,1.3920822548062899,0.0997646406831148
3500,puma,2006,2.059140323901458,0.20393287678095823
201,puma,2006,1.3757353422636684,0.1305896409937016
904,puma,2006,2.4678721208436465,0.29635471622762427
1400,puma,2006,1.3027247842188838,0.08341129665756296
2602,puma,2006,1.4654654283234638,0.12000014201259904
2701,puma,2006,1.2330391336420372,0.10213785584981641
2703,puma,2006,1.5064597200741268,0.09168448492280035
100,puma,2007,2.080432628505002,0.20565186914229838
201,puma,2007,1.4551572822873624,0.0975953782760746
202,puma,2007,2.2917669278885224,0.1798668796486264
300,puma,2007,1.6645727177848992,0.1465136198345559
400,puma,2007,1.4466090155245142,0.10720639227596157
500,puma,2007,1.880958480202558,0.1867694084410855
600,puma,2007,1.7863315145548244,0.14122520438146557
700,puma,2007,1.5901870116932497,0.15117800424487057
800,puma,2007,1.5618493833066063,0.10612243207230555
901,puma,2007,2.0558977424503806,0.21090941720319398
902,puma,2007,1.389189100974702,0.12228932217852706
903,puma,2007,1.3896118102536834,0.136018589915537
904,puma,2007,1.9438456301800358,0.17012759986577486
1000,puma,2007,1.3812731165075143,0.07973042643271967
1100,puma,2007,1.6333539625564144,0.0984102292492128
1200,puma,2007,1.579976676083252,0.13325865893802769
1300,puma,2007,1.831829053489225,0.20892428392196677
1400,puma,2007,1.6082034908446363,0.10797464354619067
1500,puma,2007,1.5363393071767608,0.1153640877867909
1601,puma,2007,1.7792234895363193,0.20382978129535084
1602,puma,2007,2.5775016343966355,0.20805937021384724
1700,puma,2007,1.7144429965982144,0.11906635785679082
1800,puma,2007,2.281863703649417,0.14910112130004033
1900,puma,2007,1.5940609784451372,0.11437715753810282
2000,puma,2007,1.7085974086516529,0.15381528599560398
2100,puma,2007,1.393950965028748,0.10003495444243467
2200,puma,2007,1.4470288769115383,0.11675082304293485
2300,puma,2007,1.7321194824645751,0.16864771566139933
2400,puma,2007,1.3620014496912907,0.11251164458563802
2500,puma,2007,1.8373333073039613,0.21043419896493507
2601,puma,2007,2.4284861358829053,0.19869240456956044
2602,puma,2007,1.5501052033018237,0.09812694338460261
2701,puma,2007,1.3830886417356496,0.09564405902320483
2702,puma,2007,1.024513423236253,0.05328581663011233
2703,puma,2007,1.5208535934964176,0.12513080548081273
2801,puma,2007,2.01330708733112,0.19137901232629054
2802,puma,2007,1.8044197625862157,0.1378174230752807
2900,puma,2007,2.2513536352421597,0.155698646374694
3000,puma,2007,1.343878532001331,0.08309769953657467
3100,puma,2007,1.4839028580254152,0.10580584833478177
3200,puma,2007,1.477160616310828,0.11851026489009923
3300,puma,2007,1.686188848204443,0.18133761511066512
3400,puma,2007,1.7385637587409455,0.19880964640830726
3500,puma,2007,2.0689829773002932,0.20257855723831522
3600,puma,2007,1.8697390542165633,0.16170792701010503
3700,puma,2007,1.5866597480838347,0.13354025347483198
3800,puma,2007,2.0616843256569535,0.21477967708455026
